Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Some Travel,Technology,32,0.93,18,Information Systems,4,A5CD-8AB8,White,Hildagarde,Female,2022,Qtr 1,January,25,Software Engineer,Marks,Single,No,24906,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,11,2.32,23,Information Systems,4,C579-11D1,White,Benjie,Male,2020,Qtr 3,September,4,Data Scientist,Grosvenor,Married,No,22488,A- 20K to 70K,CA,1,2,2,2,2,1
18 to 29,No,Some Travel,Technology,25,6.71,27,Information Systems,4,C7C8-43D9,Asian or Asian American,Rebecka,Female,2016,Qtr 2,April,17,Data Scientist,Leat,Divorced,No,24571,A- 20K to 70K,NY,3,6,5,5,6,23
18 to 29,No,Some Travel,Technology,30,3.71,23,Information Systems,4,C8FA-B6FE,Mixed or multiple ethnic groups,Galen,Male,2019,Qtr 2,April,18,Senior Software Engineer,Kabos,Single,Yes,54171,A- 20K to 70K,CA,0,3,2,3,0,23
18 to 29,No,Some Travel,Technology,15,0.21,18,Information Systems,4,CE3C-15A7,White,Flori,Female,2022,Qtr 4,October,14,Data Scientist,Ballham,Single,No,58262,A- 20K to 70K,NY,1,0,0,0,0,12
18 to 29,No,Some Travel,Technology,10,7.67,26,Information Systems,4,D245-5D80,White,Bank,Male,2015,Qtr 2,May,3,Senior Software Engineer,MacEveley,Divorced,Yes,148080,B- 70K to 150K,CA,1,7,7,7,1,1
18 to 29,No,Some Travel,Technology,45,5.47,24,Information Systems,4,D24B-5AC8,Mixed or multiple ethnic groups,Horatio,Male,2017,Qtr 3,July,14,Data Scientist,Chaffen,Married,No,38022,A- 20K to 70K,CA,0,5,5,5,1,34
18 to 29,No,Some Travel,Technology,11,1.05,22,Information Systems,4,E529-A8FA,White,Julius,Male,2021,Qtr 4,December,12,Software Engineer,Smorfit,Single,No,22382,A- 20K to 70K,CA,0,1,0,1,1,1
18 to 29,No,Some Travel,Technology,27,7.86,27,Information Systems,4,E62F-4FF7,Mixed or multiple ethnic groups,Port,Male,2015,Qtr 1,February,22,Machine Learning Engineer,Lording,Married,No,92522,B- 70K to 150K,CA,0,7,4,5,2,23
18 to 29,No,Some Travel,Technology,26,0.55,19,Information Systems,4,F749-A0E8,White,Marie,Female,2022,Qtr 2,June,12,Software Engineer,Klehn,Single,No,66119,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,43,1.11,28,Information Systems,4,F991-17F5,White,Kalila,Female,2021,Qtr 4,November,21,Software Engineer,Bengochea,Married,Yes,89527,B- 70K to 150K,CA,1,1,1,1,1,34
18 to 29,No,Some Travel,Technology,27,3.83,23,Information Systems,4,FAD6-EAA3,Mixed or multiple ethnic groups,Cyrill,Male,2019,Qtr 1,March,3,Machine Learning Engineer,Cowle,Divorced,Yes,47046,A- 20K to 70K,CA,2,3,2,2,1,23
18 to 29,No,Some Travel,Technology,16,7.64,25,Information Systems,5,A896-CDE2,White,Wrennie,Female,2015,Qtr 2,May,13,Software Engineer,Quinton,Married,Yes,28317,A- 20K to 70K,CA,0,7,4,6,5,12
18 to 29,No,Some Travel,Technology,23,5.19,26,Information Systems,5,B57F-B5CE,White,Adriano,Male,2017,Qtr 4,October,24,Machine Learning Engineer,Blackshaw,Married,No,78934,B- 70K to 150K,CA,3,5,2,2,4,23
18 to 29,No,Some Travel,Technology,41,4.02,22,Information Systems,5,CDAC-40FE,Black or African American,Gwenora,Female,2018,Qtr 4,December,24,Machine Learning Engineer,Fourcade,Single,No,75810,B- 70K to 150K,CA,0,4,2,4,3,34
18 to 29,No,Some Travel,Technology,21,6.8,25,Information Systems,5,F1BD-033D,Mixed or multiple ethnic groups,Robb,Male,2016,Qtr 1,March,15,Software Engineer,McGeechan,Married,Yes,46362,A- 20K to 70K,CA,1,6,0,4,5,12
18 to 29,No,Some Travel,Technology,1,5.34,23,Other,1,45BA-6683,Black or African American,Hort,Male,2017,Qtr 3,August,29,Data Scientist,Rawstron,Divorced,Yes,47648,A- 20K to 70K,IL,1,5,2,4,5,1
18 to 29,No,Some Travel,Technology,26,6.74,24,Other,2,1E61-B76A,Asian or Asian American,Wilie,Female,2016,Qtr 2,April,5,Data Scientist,Northfield,Single,No,39048,A- 20K to 70K,NY,0,6,1,4,1,23
18 to 29,No,Some Travel,Technology,25,1.99,19,Other,2,23E6-A67A,White,Faun,Non-Binary,2021,Qtr 1,January,2,Machine Learning Engineer,Gosson,Single,Yes,50352,A- 20K to 70K,CA,0,1,1,1,1,23
18 to 29,No,Some Travel,Technology,3,0.3,29,Other,2,5E73-CE19,White,Gus,Female,2022,Qtr 3,September,13,Software Engineer,Dyos,Single,Yes,314181,Over 300K,CA,1,0,0,0,0,1
18 to 29,No,Some Travel,Technology,21,5.92,26,Other,2,B122-D3D2,White,Gigi,Female,2017,Qtr 1,January,30,Data Scientist,Wrack,Married,No,89366,B- 70K to 150K,CA,1,5,5,5,0,12
18 to 29,No,Some Travel,Technology,42,5.9,24,Other,2,D529-0BC2,White,Katharina,Female,2017,Qtr 1,February,6,Data Scientist,Nehlsen,Married,Yes,38775,A- 20K to 70K,CA,1,5,0,5,1,34
18 to 29,No,Some Travel,Technology,25,3.39,23,Other,2,DE7D-7757,Asian or Asian American,Linea,Female,2019,Qtr 3,August,13,Data Scientist,Clifft,Divorced,No,25425,A- 20K to 70K,CA,1,3,1,3,2,23
18 to 29,No,Some Travel,Technology,2,3.35,21,Other,2,EFA2-B2D0,White,Liz,Female,2019,Qtr 3,August,25,Data Scientist,Durnford,Single,No,31254,A- 20K to 70K,CA,0,3,0,1,1,1
18 to 29,No,Some Travel,Technology,5,4.19,23,Other,2,F80F-29CB,White,Dalton,Male,2018,Qtr 4,October,24,Machine Learning Engineer,Liddicoat,Divorced,No,77420,B- 70K to 150K,CA,2,4,4,4,3,1
18 to 29,No,Some Travel,Technology,1,4.42,24,Other,3,05CD-292D,White,Buddie,Male,2018,Qtr 3,August,1,Software Engineer,Desforges,Single,No,54501,A- 20K to 70K,CA,0,4,4,4,2,1
18 to 29,No,Some Travel,Technology,43,0.48,26,Other,3,0D92-C1D0,White,Shandeigh,Female,2022,Qtr 3,July,7,Machine Learning Engineer,McCaster,Single,No,125232,B- 70K to 150K,IL,1,0,0,0,0,34
18 to 29,No,Some Travel,Technology,33,1.41,19,Other,3,4F1D-6F75,White,Corry,Female,2021,Qtr 3,August,4,Senior Software Engineer,Redwall,Married,No,49005,A- 20K to 70K,NY,0,1,0,1,0,23
18 to 29,No,Some Travel,Technology,39,0.69,20,Other,3,543B-0EE5,White,Theodore,Male,2022,Qtr 2,April,24,Software Engineer,Parrington,Married,No,20418,A- 20K to 70K,NY,0,0,0,0,0,34
18 to 29,No,Some Travel,Technology,42,6.55,27,Other,3,ABDA-F749,American Indian or Alaska Native,Emmit,Male,2016,Qtr 2,June,16,Machine Learning Engineer,Le Provost,Married,No,49343,A- 20K to 70K,NY,1,6,3,3,0,34
18 to 29,No,Some Travel,Technology,21,2.15,22,Other,3,BAE6-B5DE,White,Pammi,Female,2020,Qtr 4,November,8,Data Scientist,Biernat,Single,No,33354,A- 20K to 70K,NY,0,2,1,2,2,12
18 to 29,No,Some Travel,Technology,14,9.73,29,Other,3,C525-8BB9,Black or African American,Briggs,Male,2013,Qtr 2,April,10,Data Scientist,Pettet,Divorced,No,70872,B- 70K to 150K,NY,1,9,2,7,9,12
18 to 29,No,Some Travel,Technology,25,4.64,25,Other,3,DBF5-E57D,White,Freeland,Male,2018,Qtr 2,May,11,Analytics Manager,Chalcot,Divorced,No,303446,Over 300K,CA,1,4,0,3,0,23
18 to 29,No,Some Travel,Technology,7,3.17,24,Other,3,F1A8-7140,White,Robinet,Male,2019,Qtr 4,October,31,Machine Learning Engineer,Nation,Single,No,121470,B- 70K to 150K,NY,0,3,2,2,3,1
18 to 29,No,Some Travel,Technology,36,4.61,22,Other,3,FE0F-498F,White,Jerrie,Female,2018,Qtr 2,May,23,Data Scientist,Juares,Divorced,No,57686,A- 20K to 70K,CA,2,4,2,4,1,34
18 to 29,No,Some Travel,Technology,8,4.77,23,Other,4,03D3-AA88,White,Mycah,Male,2018,Qtr 1,March,26,Software Engineer,Brolechan,Married,No,42250,A- 20K to 70K,NY,2,4,1,2,4,1
18 to 29,No,Some Travel,Technology,30,2.63,22,Other,4,03D9-FF08,White,Lynnette,Non-Binary,2020,Qtr 2,May,15,Software Engineer,Portinari,Single,No,44135,A- 20K to 70K,CA,0,2,0,1,1,23
18 to 29,No,Some Travel,Technology,5,7.71,25,Other,4,31FB-D496,Mixed or multiple ethnic groups,Rakel,Female,2015,Qtr 2,April,17,Software Engineer,Ruston,Single,No,51454,A- 20K to 70K,CA,0,7,1,6,7,1
18 to 29,No,Some Travel,Technology,44,6.5,25,Other,4,3A20-7C3E,White,Jerrie,Male,2016,Qtr 3,July,1,Software Engineer,Carlos,Divorced,No,52210,A- 20K to 70K,CA,3,6,0,1,0,34
18 to 29,No,Some Travel,Technology,6,5.82,23,Other,4,5E53-1897,Mixed or multiple ethnic groups,Hamish,Male,2017,Qtr 1,March,6,Software Engineer,Carlsen,Married,Yes,87483,B- 70K to 150K,CA,1,5,1,2,0,1
18 to 29,No,Some Travel,Technology,16,7.59,26,Other,4,5F2E-A68B,White,Evangelin,Prefer Not To Say,2015,Qtr 2,June,1,Software Engineer,Desantis,Single,No,60834,A- 20K to 70K,CA,0,7,0,0,5,12
18 to 29,No,Some Travel,Technology,29,0.22,19,Other,4,6D1C-BAF1,White,Hans,Male,2022,Qtr 4,October,12,Senior Software Engineer,Yewman,Single,Yes,54824,A- 20K to 70K,IL,0,0,0,0,0,23
18 to 29,No,Some Travel,Technology,17,5.31,24,Other,4,8328-A764,Mixed or multiple ethnic groups,Granger,Male,2017,Qtr 3,September,9,Software Engineer,Kenworthey,Married,No,30720,A- 20K to 70K,NY,1,5,4,5,4,12
18 to 29,No,Some Travel,Technology,15,1.93,28,Other,4,9758-DE2F,White,Modestine,Female,2021,Qtr 1,January,26,Sales Executive,Yeowell,Single,Yes,319619,Over 300K,CA,0,1,1,1,0,12
18 to 29,No,Some Travel,Technology,32,3.2,22,Other,4,AB3B-98D9,White,Franky,Male,2019,Qtr 4,October,21,Software Engineer,Dorie,Married,No,34823,A- 20K to 70K,CA,2,3,3,3,3,23
18 to 29,No,Some Travel,Technology,27,6.62,24,Other,4,B8A5-07A1,White,Ainsley,Female,2016,Qtr 2,May,21,Data Scientist,Norheny,Married,No,33554,A- 20K to 70K,IL,0,6,1,2,6,23
18 to 29,No,Some Travel,Technology,24,5.03,25,Other,4,D75C-3E43,Native Hawaiian,Clint,Male,2017,Qtr 4,December,21,Engineering Manager,Widdicombe,Divorced,Yes,204154,C- 150K to 225K,CA,1,5,2,3,0,23
18 to 29,No,Some Travel,Technology,24,4.17,25,Other,4,E151-8C7D,Mixed or multiple ethnic groups,Frederica,Female,2018,Qtr 4,October,31,Software Engineer,Crosthwaite,Single,Yes,41243,A- 20K to 70K,NY,0,4,3,4,4,23
18 to 29,No,Some Travel,Technology,35,0.78,18,Other,5,64C2-2806,White,Gareth,Male,2022,Qtr 1,March,20,Data Scientist,Oleksiak,Single,No,36353,A- 20K to 70K,CA,0,0,0,0,0,34
18 to 29,Yes,Frequent Traveller,Human Resources,17,0,26,Human Resources,3,B6EC-313E,Mixed or multiple ethnic groups,Corbin,Male,2014,Qtr 3,August,9,Recruiter,Gooddy,Divorced,No,30502,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,Yes,Frequent Traveller,Human Resources,3,3,25,Human Resources,3,F5E3-48BB,American Indian or Alaska Native,Zenia,Female,2015,Qtr 1,January,13,Recruiter,Rattery,Married,No,23547,A- 20K to 70K,CA,0,3,0,2,1,1
18 to 29,Yes,Frequent Traveller,Human Resources,31,0,19,Marketing,4,F469-0427,White,Krissie,Female,2022,Qtr 1,February,20,Recruiter,Albery,Single,Yes,36832,A- 20K to 70K,NY,1,0,0,0,0,23
18 to 29,Yes,Frequent Traveller,Sales,23,4,24,Economics,2,07F5-A45D,Asian or Asian American,Willdon,Male,2018,Qtr 3,August,9,Sales Representative,Spurgin,Single,Yes,38448,A- 20K to 70K,CA,0,4,3,3,2,23
18 to 29,Yes,Frequent Traveller,Sales,26,4,22,Economics,2,D91C-815B,White,Lucille,Female,2018,Qtr 2,May,23,Sales Representative,Balser,Married,Yes,42250,A- 20K to 70K,CA,2,4,1,3,2,23
18 to 29,Yes,Frequent Traveller,Sales,41,1,23,Marketing,1,6313-8E62,White,Addy,Male,2020,Qtr 2,May,1,Sales Representative,Shambrook,Single,Yes,26508,A- 20K to 70K,NY,0,1,0,0,0,34
18 to 29,Yes,Frequent Traveller,Sales,41,3,27,Marketing,3,05ED-92F1,Asian or Asian American,Justus,Non-Binary,2016,Qtr 4,October,10,Sales Representative,MacCall,Single,Yes,28984,A- 20K to 70K,CA,0,3,1,1,0,34
18 to 29,Yes,Frequent Traveller,Sales,19,3,22,Marketing,3,1914-B934,Mixed or multiple ethnic groups,Kinna,Female,2018,Qtr 4,October,26,Sales Representative,Gaythor,Single,Yes,22122,A- 20K to 70K,NY,0,3,2,2,1,12
18 to 29,Yes,Frequent Traveller,Sales,43,7,27,Marketing,3,5A04-0EB4,Mixed or multiple ethnic groups,Debbie,Female,2014,Qtr 3,August,16,Sales Representative,Martinho,Single,Yes,24583,A- 20K to 70K,CA,0,7,0,1,6,34
18 to 29,Yes,Frequent Traveller,Sales,33,3,22,Marketing,3,66BC-7AC0,White,Maynord,Male,2018,Qtr 3,July,23,Sales Representative,Trinke,Married,No,33657,A- 20K to 70K,NY,1,3,0,2,0,23
18 to 29,Yes,Frequent Traveller,Sales,28,6,28,Marketing,3,B48C-47D0,Mixed or multiple ethnic groups,Norman,Male,2013,Qtr 3,July,29,Sales Representative,Longmuir,Single,No,43939,A- 20K to 70K,NY,0,6,1,4,3,23
18 to 29,Yes,Frequent Traveller,Sales,18,6,29,Marketing,3,B97B-73D7,American Indian or Alaska Native,Chelsie,Female,2014,Qtr 3,July,10,Sales Executive,Isakovitch,Single,No,177402,C- 150K to 225K,CA,0,6,3,5,3,12
18 to 29,Yes,Frequent Traveller,Sales,31,3,29,Marketing,4,279C-7342,White,Amelita,Non-Binary,2013,Qtr 3,August,8,Sales Executive,Liveley,Married,Yes,100925,B- 70K to 150K,CA,1,3,1,1,1,23
18 to 29,Yes,Frequent Traveller,Sales,35,0,19,Marketing,4,39A2-9B0A,White,Leesa,Female,2022,Qtr 4,October,25,Sales Representative,Wittke,Single,No,24959,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,Yes,Frequent Traveller,Sales,43,0,25,Marketing,4,7823-0217,White,Germaine,Non-Binary,2018,Qtr 4,November,2,Sales Executive,Clubley,Married,Yes,81889,B- 70K to 150K,CA,0,0,0,0,0,34
18 to 29,Yes,Frequent Traveller,Sales,14,7,26,Marketing,4,8FD9-AA59,Mixed or multiple ethnic groups,Faina,Non-Binary,2014,Qtr 2,June,20,Sales Executive,Bewshaw,Divorced,No,71349,B- 70K to 150K,IL,2,7,2,2,1,12
18 to 29,Yes,Frequent Traveller,Sales,28,1,22,Marketing,4,B98B-4689,Mixed or multiple ethnic groups,Mordecai,Non-Binary,2019,Qtr 1,January,13,Sales Executive,Tetlow,Married,No,39845,A- 20K to 70K,NY,2,1,0,0,0,23
18 to 29,Yes,Frequent Traveller,Sales,19,0,25,Marketing,4,D31B-BEF8,Mixed or multiple ethnic groups,Bent,Male,2016,Qtr 3,August,31,Sales Representative,Plumridege,Single,No,28090,A- 20K to 70K,CA,0,0,0,0,0,12
18 to 29,Yes,Frequent Traveller,Sales,4,1,22,Marketing,4,DF94-FD29,White,Shaughn,Male,2020,Qtr 4,December,24,Sales Executive,Wehden,Single,No,75816,B- 70K to 150K,NY,0,1,0,0,0,1
18 to 29,Yes,Frequent Traveller,Sales,3,0,25,Other,4,BDC5-51CF,Mixed or multiple ethnic groups,Wanids,Female,2018,Qtr 4,November,26,Sales Executive,Mace,Single,Yes,56163,A- 20K to 70K,IL,0,0,0,0,0,1
18 to 29,Yes,Frequent Traveller,Sales,36,1,21,Other,4,CFE3-312D,White,Jess,Male,2020,Qtr 4,November,8,Sales Executive,Hoyte,Single,Yes,46452,A- 20K to 70K,IL,0,1,1,1,0,34
18 to 29,Yes,Frequent Traveller,Sales,32,3,28,Technical Degree,1,8567-5B27,Black or African American,Shani,Female,2012,Qtr 2,April,27,Sales Representative,Deackes,Single,Yes,53439,A- 20K to 70K,NY,0,3,0,0,1,23
18 to 29,Yes,Frequent Traveller,Sales,42,6,29,Technical Degree,3,02DA-7A72,White,Tadeas,Male,2012,Qtr 2,April,25,Sales Representative,Lackney,Married,No,78726,B- 70K to 150K,CA,1,6,0,1,1,34
18 to 29,Yes,Frequent Traveller,Sales,31,1,23,Technical Degree,3,41FE-D257,Mixed or multiple ethnic groups,Murdock,Male,2017,Qtr 3,July,12,Sales Representative,Heinsius,Single,No,23505,A- 20K to 70K,CA,0,1,0,0,0,23
18 to 29,Yes,Frequent Traveller,Sales,16,6,27,Technical Degree,3,F968-671C,White,Eugene,Male,2015,Qtr 2,April,14,Sales Executive,Benstead,Single,No,50559,A- 20K to 70K,CA,0,6,0,5,5,12
18 to 29,Yes,Frequent Traveller,Technology,24,3,25,Business Studies,1,C661-6A1C,Mixed or multiple ethnic groups,Joeann,Female,2016,Qtr 3,September,15,Software Engineer,Batrop,Single,No,40314,A- 20K to 70K,CA,0,3,1,3,3,23
18 to 29,Yes,Frequent Traveller,Technology,3,7,28,Business Studies,3,B61E-0F26,White,Care,Male,2014,Qtr 4,November,7,Software Engineer,Heintze,Married,Yes,58993,A- 20K to 70K,NY,1,7,2,7,1,1
18 to 29,Yes,Frequent Traveller,Technology,2,1,22,Business Studies,3,BD70-7DAE,White,Kalil,Male,2020,Qtr 4,October,23,Software Engineer,Gauntley,Single,Yes,37014,A- 20K to 70K,NY,0,1,0,1,0,1
18 to 29,Yes,Frequent Traveller,Technology,45,3,22,Computer Science,2,040C-EDED,White,Lonnie,Male,2019,Qtr 4,November,8,Software Engineer,Braxton,Single,Yes,26782,A- 20K to 70K,CA,0,3,0,2,0,34
18 to 29,Yes,Frequent Traveller,Technology,28,3,23,Computer Science,2,3B11-DF28,White,Helge,Female,2019,Qtr 3,August,23,Data Scientist,Exley,Single,No,57133,A- 20K to 70K,CA,0,3,0,0,1,23
18 to 29,Yes,Frequent Traveller,Technology,34,1,24,Computer Science,2,4CA1-F139,Black or African American,Rockwell,Male,2019,Qtr 2,May,1,Software Engineer,Draysay,Single,Yes,28484,A- 20K to 70K,NY,0,1,1,1,1,34
18 to 29,Yes,Frequent Traveller,Technology,16,0,21,Computer Science,2,531D-788E,White,Durand,Male,2022,Qtr 2,April,13,Data Scientist,Boord,Single,No,42569,A- 20K to 70K,CA,0,0,0,0,0,12
18 to 29,Yes,Frequent Traveller,Technology,15,5,24,Computer Science,3,13E5-2F17,White,Vin,Male,2016,Qtr 1,January,27,Senior Software Engineer,Wandless,Divorced,No,139627,B- 70K to 150K,NY,3,5,0,4,1,12
18 to 29,Yes,Frequent Traveller,Technology,9,7,28,Computer Science,3,1C87-44CB,Black or African American,Darlene,Female,2012,Qtr 1,March,14,Software Engineer,Mansbridge,Married,Yes,48930,A- 20K to 70K,CA,1,7,4,6,2,1
18 to 29,Yes,Frequent Traveller,Technology,17,5,29,Computer Science,3,2F98-E645,Black or African American,Monah,Female,2014,Qtr 1,February,25,Data Scientist,Fivey,Married,Yes,105554,B- 70K to 150K,CA,1,5,2,5,2,12
18 to 29,Yes,Frequent Traveller,Technology,4,2,28,Computer Science,3,3560-C117,Mixed or multiple ethnic groups,Allyson,Female,2012,Qtr 2,May,9,Data Scientist,Kordas,Married,Yes,65659,A- 20K to 70K,CA,1,2,0,0,0,1
18 to 29,Yes,Frequent Traveller,Technology,45,1,24,Computer Science,3,40BE-EEAF,White,Adriano,Male,2021,Qtr 1,March,28,Data Scientist,Purselowe,Single,Yes,85422,B- 70K to 150K,CA,0,1,0,0,0,34
18 to 29,Yes,Frequent Traveller,Technology,8,0,18,Computer Science,3,6135-885F,White,Edeline,Female,2022,Qtr 3,August,31,Software Engineer,Knevett,Single,Yes,31894,A- 20K to 70K,CA,0,0,0,0,0,1
18 to 29,Yes,Frequent Traveller,Technology,30,0,22,Computer Science,3,817D-28CE,White,Bert,Female,2020,Qtr 3,July,29,Data Scientist,Otton,Divorced,Yes,40614,A- 20K to 70K,NY,1,0,0,0,0,23
18 to 29,Yes,Frequent Traveller,Technology,14,5,26,Computer Science,3,BE54-8537,American Indian or Alaska Native,Krista,Female,2015,Qtr 4,November,18,Software Engineer,Eustace,Single,No,36794,A- 20K to 70K,NY,0,5,3,4,3,12
18 to 29,Yes,Frequent Traveller,Technology,26,6,29,Computer Science,3,CC2F-670E,White,Blake,Male,2013,Qtr 1,February,23,Data Scientist,Louys,Single,Yes,78541,B- 70K to 150K,CA,0,6,5,5,2,23
18 to 29,Yes,Frequent Traveller,Technology,39,0,25,Computer Science,4,6280-B47F,White,Durward,Male,2022,Qtr 2,June,21,Software Engineer,Buzek,Single,Yes,26545,A- 20K to 70K,NY,1,0,0,0,0,34
18 to 29,Yes,Frequent Traveller,Technology,28,0,22,Computer Science,4,7AA0-5766,White,Devin,Female,2021,Qtr 4,December,28,Data Scientist,Bernhardsson,Married,No,63571,A- 20K to 70K,CA,1,0,0,0,0,23
18 to 29,Yes,Frequent Traveller,Technology,22,4,28,Computer Science,5,DEBE-1622,White,Bartolemo,Male,2012,Qtr 2,April,2,Machine Learning Engineer,Balma,Single,No,205433,C- 150K to 225K,CA,0,4,1,2,1,12
18 to 29,Yes,Frequent Traveller,Technology,41,0,21,Information Systems,2,6A2B-42DB,White,Catrina,Female,2022,Qtr 3,September,28,Software Engineer,Cufflin,Married,Yes,23612,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,Yes,Frequent Traveller,Technology,45,1,20,Information Systems,2,8C57-8F84,White,Lemmie,Male,2021,Qtr 2,April,14,Software Engineer,Antoniak,Divorced,Yes,22773,A- 20K to 70K,CA,3,1,0,0,0,34
18 to 29,Yes,Frequent Traveller,Technology,26,0,18,Information Systems,2,E681-7B57,White,Durant,Male,2022,Qtr 2,May,22,Data Scientist,Ratley,Single,No,31532,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,Yes,Frequent Traveller,Technology,10,1,23,Information Systems,3,4BE1-4A7B,White,Alexander,Male,2020,Qtr 1,January,29,Software Engineer,Winstone,Divorced,Yes,44566,A- 20K to 70K,NY,0,1,0,0,0,1
18 to 29,Yes,Frequent Traveller,Technology,45,1,26,Information Systems,3,5060-A677,Mixed or multiple ethnic groups,Zebulen,Male,2016,Qtr 1,January,21,Machine Learning Engineer,Rubrow,Divorced,No,108865,B- 70K to 150K,CA,2,1,0,0,1,34
18 to 29,Yes,Frequent Traveller,Technology,7,4,24,Information Systems,3,5D69-D350,White,Lyle,Male,2016,Qtr 3,September,23,Data Scientist,Waby,Divorced,No,104649,B- 70K to 150K,IL,2,4,4,4,3,1
18 to 29,Yes,Frequent Traveller,Technology,4,0,22,Information Systems,3,DDAC-D5FD,White,Ricoriki,Male,2021,Qtr 2,June,18,Data Scientist,Swiers,Married,No,21854,A- 20K to 70K,CA,1,0,0,0,0,1
18 to 29,Yes,Frequent Traveller,Technology,31,0,20,Information Systems,3,EC6A-DD76,White,Meade,Female,2021,Qtr 3,September,13,Data Scientist,Malthouse,Single,No,37361,A- 20K to 70K,NY,0,0,0,0,0,23
18 to 29,Yes,Frequent Traveller,Technology,5,1,28,Information Systems,3,F72D-261D,Mixed or multiple ethnic groups,Giustino,Male,2014,Qtr 1,January,6,Data Scientist,Boyan,Single,Yes,76133,B- 70K to 150K,NY,0,1,0,1,0,1
18 to 29,Yes,Frequent Traveller,Technology,29,1,21,Information Systems,4,F877-3BF9,White,Cozmo,Non-Binary,2020,Qtr 3,August,7,Software Engineer,Duncklee,Single,No,61345,A- 20K to 70K,CA,0,1,0,0,0,23
18 to 29,Yes,Frequent Traveller,Technology,31,2,28,Other,1,7269-88EC,White,Cristi,Female,2019,Qtr 2,April,23,Senior Software Engineer,Belchem,Single,Yes,176282,C- 150K to 225K,CA,0,2,0,1,0,23
18 to 29,Yes,No Travel,Sales,10,4,26,Economics,2,D49C-096C,Native Hawaiian,George,Non-Binary,2014,Qtr 1,March,16,Sales Executive,Keddie,Single,No,55537,A- 20K to 70K,NY,0,4,1,1,1,1
18 to 29,Yes,No Travel,Sales,8,5,24,Marketing,3,32AE-C02F,White,Hilly,Male,2016,Qtr 2,June,19,Sales Executive,Giocannoni,Single,Yes,82405,B- 70K to 150K,CA,0,5,1,4,1,1
18 to 29,Yes,No Travel,Sales,6,0,21,Other,4,1CB3-F7D7,Black or African American,Janot,Female,2022,Qtr 4,November,3,Sales Executive,Cicchillo,Married,No,43259,A- 20K to 70K,CA,0,0,0,0,0,1
18 to 29,Yes,No Travel,Technology,19,0,27,Business Studies,2,626A-9377,Black or African American,Blaire,Female,2015,Qtr 4,December,19,Senior Software Engineer,Dinneen,Single,No,89785,B- 70K to 150K,NY,0,0,0,0,0,12
18 to 29,Yes,No Travel,Technology,15,4,26,Business Studies,4,BAFA-86DF,Mixed or multiple ethnic groups,Rolfe,Male,2017,Qtr 3,August,2,Software Engineer,Ketchaside,Married,Yes,35373,A- 20K to 70K,IL,1,4,3,3,0,12
18 to 29,Yes,No Travel,Technology,45,1,20,Computer Science,2,E6D9-ADEE,White,Jenifer,Female,2020,Qtr 3,August,29,Software Engineer,Jarvis,Divorced,No,28262,A- 20K to 70K,CA,1,1,0,0,0,34
18 to 29,Yes,No Travel,Technology,35,1,24,Computer Science,3,C57E-6E4F,Asian or Asian American,Tremain,Male,2018,Qtr 1,February,6,Data Scientist,Drakes,Single,Yes,32502,A- 20K to 70K,CA,0,1,1,1,0,34
18 to 29,Yes,No Travel,Technology,27,0,22,Information Systems,1,4188-C61D,White,Fanny,Female,2018,Qtr 1,March,8,Data Scientist,Yoell,Single,No,23039,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,Yes,No Travel,Technology,17,3,28,Information Systems,2,C9FF-3A25,Black or African American,West,Male,2015,Qtr 3,September,10,Software Engineer,Shalloo,Single,Yes,54324,A- 20K to 70K,NY,0,3,3,3,1,12
18 to 29,Yes,No Travel,Technology,9,0,19,Information Systems,3,598D-E3B4,White,Karlis,Male,2022,Qtr 1,March,19,Software Engineer,Brisard,Single,Yes,29798,A- 20K to 70K,CA,0,0,0,0,0,1
18 to 29,Yes,Some Travel,Human Resources,18,1,28,Economics,2,9169-FC4B,Native Hawaiian,Reinaldos,Male,2012,Qtr 2,May,9,HR Executive,Baynes,Married,No,179561,C- 150K to 225K,CA,1,1,0,0,1,12
18 to 29,Yes,Some Travel,Human Resources,7,1,22,Economics,2,B76C-D9CE,White,Mada,Female,2021,Qtr 1,January,31,Recruiter,Moss,Married,Yes,29322,A- 20K to 70K,NY,0,1,0,0,0,1
18 to 29,Yes,Some Travel,Human Resources,14,2,25,Human Resources,1,4D59-B831,Other,Nell,Female,2018,Qtr 2,June,25,Recruiter,Teague,Married,No,22150,A- 20K to 70K,CA,1,2,0,1,1,12
